Attendance,StudyHours,AssignmentScore,PreviousGPA,Participation,InternetUsage,SleepHours,FamilySupport,ExtraCurricular,FinalScore,PassFail,PerformanceCategory
100,9.106861982557131,93,7.377033039250369,1,4.029667096672566,5.781374045608258,5,0,69.08906795280201,1,Medium
93,1.228107818457338,85,8.171698698556021,2,7.027326904359693,4.003765099770737,1,1,42.503314514445734,1,Medium
52,2.359060345950812,99,9.997331241078154,2,7.620134317476789,9.778564785386815,1,0,46.25743699805758,1,Medium
86,1.6552051036728976,83,5.524040324987861,5,6.036295327219684,9.50526936757807,4,0,47.8667299451279,1,Medium
100,1.8632087949412068,99,7.492853997528545,2,3.563623437874303,8.587409582556582,3,1,55.12423673268897,1,Medium
56,8.374907890024922,96,6.9256005995125,4,4.737771194651524,4.474456125859889,1,1,59.24374152407445,1,Medium
70,3.3214641265493894,70,9.329100826111777,3,5.607482920143994,6.685017338197049,5,1,52.20359163904494,1,Medium
58,3.114442640456412,59,7.379838655058279,2,1.5541885680144114,4.611350523829317,3,0,43.31018890858602,1,Medium
88,2.2739562087711263,63,5.55488762292574,2,3.5776082577315043,4.095521603576792,4,0,42.16125490126751,1,Medium
67,6.0789439379425865,64,8.172120726432919,4,6.63857011773828,7.697097791275584,5,1,56.73979416022424,1,Medium
53,3.7930569838554886,75,8.853903091319399,1,5.237802787987544,9.76497650248113,2,1,48.54942668549113,1,Medium
74,7.442496518432888,60,5.014406258328073,1,3.2896325376948328,9.417208140592901,4,0,55.00112425132417,1,Medium
63,2.055798083756375,69,9.294783427103148,5,5.306900272117451,8.180528889612425,5,0,49.71016674513752,1,Medium
99,7.877898887144924,63,5.930115000028328,4,0.945779296579679,4.5798435049892285,1,1,61.87902305006705,1,Medium
58,6.03721531730139,83,7.7603468232668895,3,3.2119808845190105,5.644984226033801,2,0,53.90531581316016,1,Medium
75,1.1426730005568775,81,7.078987503437251,3,6.345028303704451,5.920340361311746,4,0,41.97039072382743,1,Medium
51,4.145045842036277,69,8.598269083052653,4,1.764070297093184,8.578900346473368,1,0,50.93012319243151,1,Medium
69,8.63518140612957,61,6.855808073928709,3,1.4876920604593415,8.813495075410685,2,0,61.49409487231566,1,Medium
77,9.229602317984849,67,9.348815883408554,1,7.6065492793314515,6.3106367379395225,3,0,59.823657894198135,1,Medium
96,4.657001223188132,46,8.65248180479395,3,1.6791810366898456,6.507303979705658,1,0,53.122522713250646,1,Medium
56,4.808369780890736,74,8.238565855314608,3,2.0873486372013446,4.267054235657028,5,1,54.49171527474019,1,Medium
93,9.184547249393011,94,8.981202977814272,4,7.756927511234704,5.734820310512566,4,0,69.02736031185366,1,Medium
57,5.870682241365673,67,8.770115174641912,4,5.877668562120205,6.707711063065839,2,1,53.08499310055622,1,Medium
96,0.3284667024343835,53,5.1796933746077665,3,5.596772264188226,4.701898278311545,1,1,34.37035826254304,0,Low
84,9.127494628791288,95,6.973671769224141,2,6.82341107083665,6.7196047645301284,3,0,63.34553672837538,1,Medium
63,2.482264427571519,49,9.654036486582449,4,0.9265846578943542,9.119054873546801,4,1,52.89942229606821,1,Medium
66,5.776319540915472,55,5.628621344961131,5,5.647649892640057,7.48792611835032,4,1,51.50202556585305,1,Medium
85,1.6551331742797382,55,8.685482752160256,5,4.029508874625911,4.473579130230474,1,1,44.991732536986675,1,Medium
99,0.33879160246594986,93,9.872959056676649,1,6.633205122273119,5.1500279129816455,3,0,45.685733403642956,1,Medium
89,3.114731711327574,70,5.260993145224858,3,4.0651337493215545,6.847266100951337,2,1,47.09863482254817,1,Medium
53,7.804957075460877,81,8.410969403133052,2,4.961930834151297,6.168922898930872,1,0,54.89360813339863,1,Medium
51,2.775871726294181,64,7.340770706505152,1,3.8219370111962876,6.152362117276592,2,1,40.49316995225434,1,Medium
55,2.2009721408109706,52,7.895876276873611,3,3.825271388446753,7.175604688861541,4,1,43.452676895537245,1,Medium
91,2.126807843412263,45,5.426706682421624,4,6.143759824494652,7.5063755295367445,2,1,40.843101454820996,1,Medium
53,5.151736824068126,83,5.2150347593346975,5,5.028531205178266,8.781169421657147,3,1,52.159240060236954,1,Medium
78,9.755413156827563,48,8.334333302754608,2,5.066105612875283,6.045799380774908,5,0,62.258276768906725,1,Medium
67,4.58988988017013,84,9.116547149103589,5,3.6022598706522064,8.832797698243521,3,1,60.321883827111144,1,Medium
75,5.573053688900479,75,8.910076674664836,4,4.248875970700221,6.031667374675795,2,1,57.57262379455508,1,Medium
93,8.606320178907339,95,7.719028639331187,3,5.965741329638298,4.332597933647403,1,0,62.578050526862384,1,Medium
83,5.350697189336586,82,5.499334105680891,4,6.607527352895346,7.325125906028747,4,0,53.262061208489015,1,Medium
59,1.844628714188561,59,8.440222219180068,4,5.572491217152369,7.527413949368887,5,0,44.0449743591158,1,Medium
85,2.9959591176647704,57,6.2094444177707295,5,7.392583910765465,9.607241473731161,1,1,45.41691161535093,1,Medium
63,3.099369262686109,97,9.555343513836918,2,6.562592705177607,8.356367956374847,1,0,48.78612168957417,1,Medium
80,3.973181154575979,82,9.191326797728525,4,4.494910318476148,9.506635914966637,3,0,57.65500970078156,1,Medium
97,4.267889053367494,96,8.546914835436954,5,5.371248581149895,9.450083261458058,2,0,61.156408751517816,1,Medium
64,7.997820220742694,60,9.744229779155653,2,7.410466215369568,7.627444661549453,3,0,56.52101250138274,1,Medium
57,3.49386999049333,43,5.157109107556365,3,4.953344353944467,7.1665723920186855,2,0,36.89192357763742,0,Low
63,4.682318284413793,89,8.68100212530381,3,6.598455583838645,7.344645802981599,3,0,52.437327667387756,1,Medium
72,6.249759870510523,72,6.651213896682027,1,5.510484028719897,9.869984846063486,1,1,52.59322512712707,1,Medium
89,3.777259474401693,66,9.530329428431827,5,4.415490888483732,8.639006150481753,4,0,58.052406553029556,1,Medium
70,8.36564813292333,46,6.333375983309888,2,1.934705563322825,4.637595428754375,2,1,54.85767531551611,1,Medium
65,5.874536042340743,45,8.624282496575084,4,3.407980155747425,8.6705704406884,5,0,56.21771152548336,1,Medium
94,2.9404467922097153,54,9.388235098253908,3,7.741942598669725,5.023228293389355,5,0,47.65894824927745,1,Medium
67,7.140591997898282,57,5.208284091913412,2,5.2621230661808,6.684103294033754,1,0,47.01486053696034,1,Medium
96,5.2764773014478585,71,6.988237897960181,5,4.515163042711917,5.262758033059206,3,1,57.6554555826424,1,Medium
73,5.344558912572469,95,8.811545160109693,1,7.463653004225819,8.13749839319938,3,0,54.41818581226943,1,Medium
75,4.810879483875859,50,7.274594447537935,3,4.69209424829959,9.263858417158215,1,0,47.94488994556563,1,Medium
74,4.9701194882124895,59,6.336263148967976,2,4.208660147339224,5.742171312200085,5,0,48.97766178079404,1,Medium
94,7.6535628106624065,63,6.09902674411595,2,6.074486841201642,4.492064447249126,5,0,56.127008637065146,1,Medium
90,1.0298147933131552,54,5.657591334581889,2,5.701324951892356,5.790958588449779,3,1,37.80281797460071,0,Low
78,3.3436281131048218,87,9.285647799281412,5,1.5452800672674618,8.034171147593167,2,1,60.01789027511158,1,Medium
64,0.7550336380388922,46,7.87677701625778,5,3.7704661965929693,5.972560765326699,4,1,41.41170399688595,1,Medium
94,7.5324622074745085,60,5.38192472495728,5,3.780123542556682,5.6686730053228205,2,1,58.97542381755762,1,Medium
50,2.7230185472029946,81,6.912901617853177,4,3.025796121946758,5.10661114350559,5,1,48.131061030469695,1,Medium
74,8.974304098188842,65,6.838668254025549,2,4.138347857218025,6.985098561246601,2,0,58.644238690227354,1,Medium
56,5.265784666592937,83,5.908695953547315,3,3.3048591818171538,5.655692968943125,4,0,50.81441614169351,1,Medium
58,8.007497714861211,95,7.177538127360954,5,1.594763915769465,8.386062094836898,2,0,65.42983413355267,1,Medium
73,9.789314356159611,53,6.660496826965682,5,3.2989318981974485,4.4597344119532165,2,1,61.90990004161501,1,Medium
50,8.397888594565705,96,6.709018527460913,2,0.5782155805854128,7.984198198667905,2,0,62.36818234602114,1,Medium
93,8.669937600115235,76,8.695132788939794,5,4.606286902195293,5.425360087406619,2,1,68.03027634705745,1,Medium
57,4.079844953648447,97,6.116316927525982,4,6.829236391528895,6.935675566309619,1,0,45.846608058613405,1,Medium
73,5.517225952593398,60,8.209299794276777,4,5.802296674836442,5.716539532187563,5,1,55.042122547202894,1,Medium
60,2.538885640433043,57,7.853248119404674,5,2.88315232043289,8.336612056064773,4,0,48.046393001805306,1,Medium
100,1.961130996934528,44,7.840462561689336,2,0.6965696446184655,9.67184224150982,5,0,51.820833371384225,1,Medium
66,5.055078791060338,42,8.31503673070888,2,1.617195193802166,9.50246067681888,1,0,49.819902387526156,1,Medium
57,5.950489797004206,62,7.7419101809782696,2,4.3639227239586855,7.500557290864546,1,0,48.60058500816764,1,Medium
84,3.3927124589619098,65,9.396275574231923,1,1.6564566670642629,6.77566181954187,1,1,51.8514842063448,1,Medium
84,5.694435177635003,76,8.377900459751299,5,4.35178489027974,8.90980305663629,1,0,59.133506035911935,1,Medium
82,8.87460482513503,63,7.7348162568569405,2,1.8527921981111914,8.09995817576638,2,0,63.76091288183659,1,Medium
54,5.567215847833661,88,9.148815601438224,4,6.791390955808582,5.101384685301597,5,0,54.975910579909105,1,Medium
91,7.2081309631050665,58,8.0307328246674,3,3.1781717827236777,8.925515281678003,3,1,63.43239132329858,1,Medium
88,8.053149673579052,90,6.455721238925895,3,1.9644050075559285,6.573306336368261,4,0,66.48203078705673,1,Medium
90,9.887287819554428,64,6.035474590882856,2,6.498609441976493,5.1339139598270505,1,0,57.22325746310415,1,Medium
77,6.031974021769796,60,5.761638928313394,3,2.742711718443606,5.690784102378955,5,0,53.797769805235184,1,Medium
56,8.06850148962586,51,9.497276062730508,3,0.8919015027102555,5.605162181490054,1,0,57.77913795156769,1,Medium
58,9.626493185548746,96,8.550677158990329,1,4.563275931229133,7.11524184762076,1,0,62.76540415684379,1,Medium
57,9.444097255772734,100,9.686892190821604,4,4.65251363550391,5.406220544067253,1,1,67.59273319821078,1,Medium
61,1.4108184877771357,80,8.016459028574715,4,5.7175654018858735,4.741398924409457,1,1,41.040218553726135,1,Medium
83,4.06392308273522,72,7.367004407474562,1,1.9217554656670846,4.742145103682565,1,1,49.59516768014474,1,Medium
82,3.239900611067996,89,5.298582444854446,1,3.5501707127379607,7.4996571828345795,4,0,48.77219736933964,1,Medium
97,0.8692501495034932,92,8.358211407730149,3,2.25894335234125,8.408555733096271,5,1,56.607915932834906,1,Medium
72,6.332407749109605,43,7.911043798841156,5,0.647629888925505,5.929198053030045,1,0,54.74685372188277,1,Medium
73,7.359046131960023,81,9.951044467938107,3,7.012910616127133,4.207904258884103,1,0,56.567199609843165,1,Medium
86,8.481280954668835,96,6.195793888911215,1,5.830958435906729,4.763349321622064,1,0,57.53844677534873,1,Medium
84,1.227768896627085,46,7.65368677643418,4,2.4117044756704056,9.488167362022342,1,0,43.75437345206533,1,Medium
93,8.764440758752938,61,8.254786675590363,3,4.7949839429758905,6.961261957536718,2,1,64.31924443544455,1,Medium
89,6.429255636142532,94,8.222955873711719,5,1.6101103050757795,6.721436857691049,2,1,67.78854023911641,1,Medium
71,7.0394613513850945,72,7.806467714742014,3,7.121892974366167,4.228295069860545,3,1,54.30768327860499,1,Medium
76,9.10624003540304,56,8.884640051636127,2,0.9192507468952824,8.371822133901395,1,0,64.25217601949257,1,Medium
84,6.247612710432511,63,6.024906047634082,3,0.03069716406240719,7.168408485592473,3,1,59.55200004766435,1,Medium
50,3.358658571498351,100,8.628136001372079,1,4.016065581913457,5.212485616519125,4,1,50.232149061279884,1,Medium
84,8.251073314226598,100,8.098672857165447,4,4.665022587622954,4.660442561086343,3,0,66.20600190450648,1,Medium
86,3.6305921219509054,73,9.480375558972867,4,4.631722562366435,6.300327181791991,5,1,57.74056646731412,1,Medium
96,0.34228110820529123,67,9.235972195167909,1,0.4360954195026103,9.022971785170153,2,0,48.4907944826401,1,Medium
63,8.306545065652497,97,6.575735195662766,2,2.51235045534746,9.191767355206146,2,1,64.51144051868255,1,Medium
52,3.451921448812756,82,6.381186624875765,1,3.9935915747306545,7.617078282373819,1,1,43.520800696395234,1,Medium
50,7.738345232013403,80,9.908266619262239,3,1.732633485017927,8.365218563380857,1,1,63.749543446444584,1,Medium
54,3.6275789466594546,78,7.636325904576283,1,6.981007083887171,4.690934724417222,4,0,41.860630182938806,1,Medium
75,8.610680199747216,61,9.532104819572183,1,0.6968743156914723,7.528756392807129,4,1,67.67455070764018,1,Medium
63,2.195105250809587,88,5.819405118902411,2,3.899075533376343,8.001794220923092,5,1,47.46914093769357,1,Medium
88,9.745472651988699,56,8.214094574000871,3,5.531328460105216,5.204277057482753,1,1,62.156702823979906,1,Medium
76,7.797587747880308,73,9.049300936802931,5,2.0940088010758595,9.280928397461555,1,1,67.78460827192548,1,Medium
58,1.1423792592039683,45,9.736976247932233,5,4.993925895980145,5.169980425126118,4,0,40.79497194277271,1,Medium
64,5.657766199665605,85,6.6867007050851175,4,6.635081201138997,5.880864159078703,4,0,52.30003347496172,1,Medium
64,9.853673122417346,45,8.624905849620262,1,1.5226958007603804,7.7233410821407515,4,1,64.69135159131895,1,Medium
75,4.710654526938144,73,7.694065045198095,4,7.3377647345989025,7.830100390784384,2,1,51.55254444363189,1,Medium
91,1.8210713882158325,40,5.303144630332341,2,4.428468261298864,8.196308445924203,3,1,40.37615848918237,1,Medium
62,4.8477836715034615,49,8.449998686544717,5,2.3938560344084845,4.672070278409234,3,0,50.554653882974165,1,Medium
100,5.124576558819216,60,8.450482791189216,1,3.446866203058166,9.096786579571333,1,1,56.3628893154522,1,Medium
81,7.4168694422866555,44,9.653034024232685,2,2.4975350702911037,7.197082793699559,2,1,60.172001667049244,1,Medium
88,6.988458531609044,41,7.4865622308448625,2,5.800889279466529,6.82793076463041,4,0,53.371048469296184,1,Medium
98,4.025500435969805,61,6.151254603552573,1,6.370405307321057,9.886585747081057,1,0,46.185166998243105,1,Medium
81,2.180231074940865,87,5.222819117243396,2,6.663499138549288,8.442269781646118,2,0,42.15300956090255,1,Medium
53,6.450541677693295,96,7.078210933429529,1,7.886145996685929,4.708036159716249,5,1,52.23855171747879,1,Medium
79,4.217039345532818,41,6.509583500387509,1,6.330274339973468,8.539235003357444,2,0,41.38112552695792,1,Medium
86,1.322762111253304,49,8.805441530119378,3,4.811072565508507,4.571493603837217,1,0,39.38261521068173,0,Low
72,9.005723012363857,73,6.771338824205233,4,2.7137623871342704,4.164823375077909,3,1,63.33117091139166,1,Medium
88,6.912218576096544,55,9.74535598157422,2,4.356763589685995,6.4217553716193825,4,0,59.80813335163123,1,Medium
94,6.831838564454814,87,9.811551014938921,2,0.3285453823232434,9.961469036915311,5,1,74.58947932890865,1,High
64,8.225838759116739,90,8.10454295108854,3,5.9586006042393045,5.049303617169176,2,1,60.149788433062234,1,Medium
92,5.2966167865508105,100,9.643301435074415,3,3.5676443607368142,8.035866061160739,1,0,62.96574930412239,1,Medium
78,8.150544284024571,78,8.804271722572478,3,0.16018583785750096,5.040376397236717,1,1,66.10286475399019,1,Medium
85,4.980907535110058,61,7.734298204875631,5,0.5000555320832865,8.348721849750316,4,0,60.715202000318044,1,Medium
62,0.6717539991571009,51,5.901539677113891,5,3.099731710574053,7.032122009426956,1,0,35.656054310059744,0,Low
81,4.052480880276887,63,7.2929897175692,5,4.667372152147481,8.079830260536259,1,0,50.063187320300734,1,Medium
56,4.9746489397989055,86,7.8043723168130885,1,3.7136315916170135,5.217239055485408,4,1,52.14247852471393,1,Medium
100,7.202025816322958,79,9.319807903675052,2,4.953634538337239,8.473769995123012,5,0,67.23646935432498,1,Medium
71,1.0657873012867436,77,7.406666882678325,4,3.8423540703308463,9.97371435773624,3,1,48.11240027520568,1,Medium
77,1.40018538660449,99,9.488373363389783,1,5.293630763850774,7.993903003755759,3,1,50.33482000056195,1,Medium
51,2.6368380263461644,98,8.371744895117345,2,1.753008517366407,6.9608799884372665,2,1,50.467363882502966,1,Medium
91,2.664983933708822,49,5.684995315268357,2,0.9027454974689713,9.53904393171559,5,0,49.441490258492315,1,Medium
94,7.321845784590623,74,9.974906846625466,3,4.77147163700528,4.095111053391258,2,1,63.266836384452915,1,Medium
55,2.5073066056159776,90,7.636163303769563,3,3.8775161354904597,8.379541115714927,3,1,49.37965117099002,1,Medium
77,6.330980633574476,88,6.959291482045394,1,0.21494123235948237,9.332479100882878,4,0,62.80080690030695,1,Medium
77,4.942738501382714,71,8.295568822347633,3,3.043855083944287,4.370047501725745,1,0,51.233880029328255,1,Medium
93,5.732943781794006,46,5.544466569905195,2,0.8490046839279639,6.700385022494549,3,1,54.175343392285754,1,Medium
93,8.381069631782958,60,8.182693233766772,3,4.250854654021562,5.228316723699994,5,1,65.34709681886099,1,Medium
69,4.043815015490243,59,7.491180002496365,5,3.166221437283446,7.399108993526981,3,0,50.929417850331944,1,Medium
79,7.709113770642705,65,7.033370349992916,3,4.905215288824143,7.897257751621963,5,1,61.94056797648847,1,Medium
60,4.2203605955068735,43,9.765100105894497,2,6.444817750161906,5.81573909757253,5,1,47.06553822062642,1,Medium
77,3.5387137656124947,85,7.612698583660267,1,2.3973494707319265,6.759890018068605,5,1,54.738400332341165,1,Medium
74,9.586271773132205,91,6.095587397349692,4,7.69681683332022,5.676036911659357,2,1,61.91927137927935,1,Medium
88,1.8437092067896321,61,7.2948173968864936,3,4.285076004700596,6.216346986730683,4,0,45.27868334765124,1,Medium
82,0.9033696057760787,54,9.596937022863363,2,4.946326390038304,4.957239740130541,3,1,42.32543296379484,1,Medium
50,7.709859255354785,95,5.880477356652973,4,5.445378985805896,9.313356661513788,4,0,59.385002683695866,1,Medium
76,0.6824970535409158,79,6.069785193441184,4,5.333852238860718,4.060062463354819,1,1,38.27211503266947,0,Low
62,8.370789907030293,60,5.0651478387854185,5,4.087765944360497,9.294455118662732,3,0,57.707771920390414,1,Medium
90,4.3719339635724355,54,5.0709502469788355,4,3.430114328917468,7.430073270098431,4,1,51.77870090305569,1,Medium
52,9.15513677291914,61,9.146958134792563,2,0.43025571341902324,5.989947065062105,4,0,63.620483719864254,1,Medium
88,7.215328611219056,91,8.66061303421478,2,0.17668676240943793,8.338342752761978,1,1,68.45631138153186,1,Medium
55,6.104046670079576,67,6.775205282259791,3,2.863689556262117,7.046512911175986,5,0,54.1441197257085,1,Medium
57,9.493067970577657,53,8.491555786137864,3,2.669287125069541,6.9946519486456395,3,1,63.04670544206563,1,Medium
76,3.9664937305205425,66,6.976029631549851,3,3.101561238712054,4.660853697513799,3,1,49.57435780804943,1,Medium
58,9.54086936539633,100,9.764483979989137,4,1.1069456071055201,6.337096155672452,1,0,70.84477589312336,1,High
86,1.3500127742120693,80,9.835263407130174,4,5.905346164294749,5.44638607514042,5,0,50.207370438286006,1,Medium
82,4.8375494193241275,79,6.963968879046717,5,6.855715318209912,4.094175433577678,3,0,50.90474312385374,1,Medium
100,2.699112223921949,97,9.27110953170434,3,7.50971708299228,6.16059778469268,3,0,53.31517611288861,1,Medium
91,5.398427789081934,67,8.86544520848733,1,3.9388984281570067,4.5389327765536285,3,0,53.95953843969405,1,Medium
93,1.6201387789158461,65,6.549999685858946,5,5.606925593003429,5.540980226351111,5,1,47.62415605283793,1,Medium
73,8.415296603100433,88,6.16019914450553,1,6.84440898748698,4.5550997270985665,1,0,53.00045603234632,1,Medium
64,8.464078493145573,41,7.291173251964169,4,3.3463288887478875,4.605649753338393,3,0,54.954864537066086,1,Medium
81,9.55236312723479,64,8.90674420307203,5,2.475302358963555,5.19406776649113,4,1,70.91127258859981,1,High
81,1.5467214088323622,95,9.800838923643727,5,7.493796446827921,9.999095466918401,5,0,54.97358706090738,1,Medium
73,6.233325509049907,42,8.817895344332863,2,4.125412408616585,4.013104857143492,2,0,48.944573023365095,1,Medium
90,4.742373087003696,47,9.27603492509185,4,3.978031092727024,7.832035816722431,1,0,53.215980874961815,1,Medium
98,3.4438373204423325,83,8.015321530852582,4,1.4273287725079662,4.847462188159344,4,1,59.49084346599625,1,Medium
98,3.515401611342188,72,9.177039154210629,5,0.865240116586854,9.523768820264655,3,0,62.33164925828305,1,Medium
61,4.127935506067523,81,8.922104290017089,4,6.736854899868093,4.561797360001775,2,1,49.18748832032768,1,Medium
88,7.049255496889531,91,6.8849277096314,5,4.9130654095001445,9.73037912275742,1,1,64.68524923923884,1,Medium
51,5.982860582681546,74,7.759951510603606,2,2.6065966721555895,7.665558324900868,5,0,55.48965079412933,1,Medium
52,4.596815127611311,45,9.023765609948473,5,1.5338897391221318,4.007608461492941,2,1,49.54950284094856,1,Medium
98,0.7593341036962209,78,5.230283670949782,4,4.443978241357051,9.364043187500837,2,0,44.72281491493381,1,Medium
86,0.7776534407895708,91,9.040396411779149,4,4.671354314089083,7.13027080820151,4,0,50.7310770117047,1,Medium
98,0.023393906257782593,62,5.889440620245117,5,1.6559488099604653,5.576018411982908,1,0,41.41871069503885,1,Medium
66,9.676993882070864,64,7.573418085607194,5,6.8112459831317915,8.603675065093782,4,0,63.694122149276495,1,Medium
98,0.05253818558384915,98,9.041377197779688,5,0.6741149292468087,9.559993323321219,4,0,58.589291323873255,1,Medium
51,1.0309374601374488,89,6.269105390783475,3,2.8487446813313735,6.902144938880763,3,1,42.80886575934803,1,Medium
51,3.145965568094109,82,6.229037196530765,4,5.443075310100177,5.893320846658665,5,1,46.63538503992524,1,Medium
77,8.074302518167611,58,7.013821992311259,4,2.1929629105536055,8.733670743609562,2,1,62.813779431039485,1,Medium
72,9.620987857641177,44,9.473213987888172,3,6.621401558250175,8.090712986730729,1,1,60.60892380773307,1,Medium
86,7.900135587918561,90,5.002213907186039,5,5.918942612803228,9.332514902501634,5,0,64.73410339464846,1,Medium
81,6.905602324456406,50,9.506915483209674,2,6.312182756385074,8.155084076567157,5,0,57.97850933699582,1,Medium
82,5.213006674135694,95,5.769035123208039,5,0.9528522870137301,5.4611700333972175,1,1,58.87909460818548,1,Medium
50,0.8670521186218361,51,9.95043188033741,5,1.1243770239643434,9.589955498554115,5,0,48.31136771701195,1,Medium
68,9.581707930039304,49,9.77423496519234,3,2.291789901956669,4.629014483235948,3,1,64.84559323335705,1,Medium
51,7.583924139456815,47,7.473375947956416,4,4.144617321580489,5.607656500641087,5,1,55.430999324476986,1,Medium
93,6.389493853342618,63,7.563601239063141,5,5.984128613595219,7.121167646343314,3,1,59.57588361311353,1,Medium
75,7.590358455388499,99,7.4077467013792715,4,6.692247126087228,7.394452156425409,2,1,62.54110818177198,1,Medium
81,7.241033292731386,67,8.177218228297614,1,5.634682527657444,4.091863519761432,2,0,53.00262568643851,1,Medium
55,6.372315797894869,80,5.4536085111746555,4,7.428775052245107,8.68343635492564,4,0,51.44500447544827,1,Medium
81,9.805768001799882,75,5.163089741707832,2,5.909948076927442,6.169643910552337,3,1,60.87633947304826,1,Medium
53,9.03363812636025,76,5.288514642079495,2,2.4501430960369177,6.438511246012827,2,1,57.745607617492574,1,Medium
60,6.4666491911716335,60,7.221826746207572,5,2.1206502747085807,8.856217266621675,5,1,61.020875772498115,1,Medium
66,6.931752114569248,47,6.377739696097417,4,5.569539602408719,6.275700350365267,1,1,49.48322549093448,1,Medium
87,0.5159580665871,94,8.110197811854968,5,1.5429645495169142,4.283349258968529,1,1,49.774739278959686,1,Medium
73,6.699174645500392,48,9.962211446873894,3,0.7417184864821591,5.058638622822102,3,0,58.893514264696236,1,Medium
54,0.44165437710100175,86,6.93161586538233,2,4.257782998849551,9.735419034329095,4,1,43.045341017723274,1,Medium
83,5.882637569699311,54,7.869206270522566,5,6.573132558231642,4.422432174415085,5,1,55.3040949026118,1,Medium
