Attendance,StudyHours,AssignmentScore,PreviousGPA,ParticipationLevel,InternetUsage,SleepHours,FamilySupportIndex,ExtraCurricular,FinalExamScore,PassFail,PerformanceCategory
90,5.92,66,6.49,5,1.91,7.47,1,0,72.52,Pass,High
74,3.77,88,6.5,5,5.55,7.04,4,0,67.16,Pass,Medium
67,9.9,58,9.4,3,0.34,7.18,2,0,84.03,Pass,High
73,9.55,84,7.38,4,2.91,6.44,1,1,84.79,Pass,High
82,2.32,62,6.12,3,5.48,5.33,1,0,51.67,Pass,Medium
99,7.64,64,6.21,3,3.66,5.77,4,0,77.04,Pass,High
80,9.4,67,6.57,1,3.28,8.8,5,1,82.56,Pass,High
75,3.44,100,6.85,5,1.5,6.63,5,0,72.7,Pass,High
77,6.54,82,8.66,3,2.06,6.87,2,1,78.81,Pass,High
83,9.32,55,6.63,1,5.11,5.21,2,1,73.51,Pass,High
85,2.27,76,6.48,4,3.36,5.15,4,1,62.38,Pass,Medium
84,7.58,72,9.06,3,3.09,7.87,2,1,82.57,Pass,High
100,4.38,76,8.68,5,0.6,7.15,4,1,81.07,Pass,High
88,9.4,83,7.74,3,0.1,7.03,1,0,87.11,Pass,High
74,9.77,95,8.2,4,5.78,5.97,2,0,86.32,Pass,High
60,9.55,87,7.25,3,2.26,7.98,1,1,82.41,Pass,High
84,5.79,63,7.93,5,3.62,5.67,3,1,74.46,Pass,High
66,8.9,85,8.03,1,0.48,5.76,4,0,81.64,Pass,High
68,8.76,57,7.55,5,4.1,6.84,3,0,75.88,Pass,High
83,4.55,84,9.63,1,5.6,6.15,2,1,71.08,Pass,High
60,8.63,68,6.06,2,3.45,5.99,1,0,67.12,Pass,Medium
67,2.3,79,9.13,5,0.76,7.58,2,0,66.92,Pass,Medium
83,6.77,63,6.5,5,3.49,7.6,3,1,74.57,Pass,High
70,3.84,69,9.19,4,4.6,8.3,2,0,66.17,Pass,Medium
76,2.96,98,8.46,3,2.44,6.67,5,0,72.15,Pass,High
67,2.62,74,9.37,1,5.28,5.29,3,0,58.86,Pass,Medium
94,7.57,89,6.39,1,3.89,6.09,2,0,76.52,Pass,High
94,4.72,73,8.24,4,5.4,8.92,1,1,72.15,Pass,High
92,7.8,63,8.0,4,3.74,7.39,2,0,79.79,Pass,High
64,2.52,75,8.82,3,0.79,7.84,1,1,64.17,Pass,Medium
98,4.52,87,8.14,3,1.86,5.03,5,0,78.25,Pass,High
100,6.32,72,8.16,5,1.21,7.07,2,1,82.27,Pass,High
87,8.33,71,7.72,2,5.45,5.15,5,1,79.56,Pass,High
66,4.55,97,7.24,3,4.56,7.28,3,0,69.25,Pass,Medium
68,7.01,68,7.93,4,4.06,8.68,1,1,73.95,Pass,High
67,9.09,95,6.47,3,1.81,8.87,3,1,85.73,Pass,High
71,6.93,100,9.85,1,1.1,7.16,1,1,83.53,Pass,High
93,3.86,52,8.86,2,4.54,6.83,5,1,68.72,Pass,Medium
92,2.2,91,9.81,5,2.84,8.78,4,1,77.84,Pass,High
82,8.96,68,6.91,1,1.35,7.69,2,0,78.57,Pass,High
83,2.17,58,9.52,1,3.7,5.26,5,1,61.6,Pass,Medium
96,9.0,77,9.24,2,0.24,6.86,1,1,90.08,Pass,High
94,6.23,69,8.71,5,1.96,5.96,1,0,78.3,Pass,High
99,9.51,94,8.5,4,2.81,6.88,1,0,92.45,Pass,High
81,8.39,56,7.27,5,0.89,6.82,1,1,78.3,Pass,High
86,9.98,63,9.27,3,5.91,7.33,2,0,84.29,Pass,High
94,4.81,58,8.01,1,1.25,6.43,3,0,69.43,Pass,Medium
60,8.14,68,6.28,3,0.78,5.66,4,0,72.95,Pass,High
94,5.22,96,7.25,4,1.22,7.01,2,0,79.09,Pass,High
96,5.84,63,9.74,3,4.61,8.32,1,0,75.61,Pass,High
73,7.02,87,9.4,5,2.55,7.66,2,0,83.05,Pass,High
62,8.99,85,9.93,3,3.39,6.35,5,1,87.74,Pass,High
60,9.87,89,8.51,4,0.13,8.74,1,1,89.45,Pass,High
64,8.15,66,6.99,4,0.21,8.65,4,0,78.97,Pass,High
85,5.34,79,6.65,4,2.67,5.84,1,0,68.96,Pass,Medium
73,5.37,58,6.75,5,4.9,5.16,4,1,66.64,Pass,Medium
98,7.9,82,6.08,4,5.31,7.97,4,0,80.51,Pass,High
86,3.91,74,7.56,1,0.52,8.31,3,1,69.9,Pass,Medium
68,2.88,63,6.77,4,3.23,8.87,3,0,59.89,Pass,Medium
74,4.84,60,7.65,3,5.48,8.56,2,1,65.97,Pass,Medium
74,4.3,84,9.74,3,2.33,7.4,2,1,74.52,Pass,High
85,4.37,90,7.72,3,4.98,7.12,4,0,71.47,Pass,High
72,3.87,63,9.51,5,0.8,5.11,1,0,67.38,Pass,Medium
91,2.34,79,8.42,3,5.61,5.99,5,0,65.57,Pass,Medium
98,2.14,90,6.99,5,4.51,6.84,5,0,70.06,Pass,High
91,9.9,53,7.42,5,5.65,7.51,1,1,81.7,Pass,High
63,5.42,53,6.34,4,4.06,7.23,1,0,59.13,Pass,Medium
89,5.07,77,7.33,1,2.18,7.97,3,1,72.46,Pass,High
96,7.44,57,8.71,4,5.63,6.12,5,0,79.77,Pass,High
82,3.75,51,6.29,4,1.65,7.26,4,1,64.02,Pass,Medium
98,9.6,90,6.82,5,1.99,5.35,2,0,89.82,Pass,High
74,8.29,95,7.53,5,4.2,6.65,3,0,83.55,Pass,High
88,2.72,71,9.93,3,4.59,8.0,5,1,71.1,Pass,High
95,5.34,90,9.14,3,5.58,7.77,1,0,77.09,Pass,High
72,9.03,65,8.93,4,1.23,8.96,5,0,86.29,Pass,High
91,9.56,78,6.46,2,4.79,6.11,4,0,81.95,Pass,High
66,5.74,98,9.12,2,4.43,6.99,3,0,75.0,Pass,High
81,6.91,97,9.14,3,0.38,6.32,1,0,82.84,Pass,High
87,3.34,79,8.4,2,2.32,6.76,4,1,70.02,Pass,High
61,9.93,61,9.96,3,1.7,8.43,2,0,84.84,Pass,High
65,3.85,84,7.3,5,1.83,7.74,3,1,70.72,Pass,High
87,9.54,60,9.77,4,5.9,8.53,4,0,88.66,Pass,High
87,7.2,95,9.66,1,3.86,5.81,4,0,84.35,Pass,High
79,6.86,99,6.05,4,4.31,8.49,1,1,77.72,Pass,High
89,6.1,70,7.8,3,5.86,5.24,2,1,71.53,Pass,High
70,3.85,70,9.91,3,2.26,8.55,4,1,72.34,Pass,High
87,3.41,54,6.41,4,4.81,6.32,3,1,61.88,Pass,Medium
84,3.76,97,8.19,3,2.61,6.26,4,1,75.05,Pass,High
98,3.49,69,9.92,2,5.22,7.05,5,0,72.71,Pass,High
92,8.24,86,8.22,2,1.08,8.76,3,1,89.61,Pass,High
60,4.8,52,6.76,3,5.69,5.19,3,1,57.55,Pass,Medium
86,2.46,93,8.33,3,1.31,6.41,4,0,69.94,Pass,Medium
72,9.75,82,6.82,2,1.96,8.43,1,0,81.5,Pass,High
100,9.07,58,8.08,3,4.54,6.58,3,1,84.08,Pass,High
62,9.42,58,6.3,3,2.36,5.8,5,1,77.57,Pass,High
98,9.96,53,8.42,4,3.65,6.7,1,1,85.72,Pass,High
65,3.39,84,8.07,1,2.67,6.54,1,0,60.41,Pass,Medium
67,5.17,66,8.96,2,4.45,8.66,1,1,68.18,Pass,Medium
86,8.07,83,8.52,4,1.37,8.05,3,0,86.94,Pass,High
68,7.57,73,8.2,1,0.35,7.02,1,0,73.03,Pass,High
96,3.23,81,8.76,3,1.8,8.95,4,0,75.14,Pass,High
92,8.53,50,6.58,3,2.85,6.86,1,0,74.39,Pass,High
83,3.8,57,8.38,4,1.01,5.23,5,1,69.4,Pass,Medium
74,3.79,94,6.69,3,2.13,6.05,2,0,66.19,Pass,Medium
91,6.3,72,9.7,5,2.4,6.74,5,0,84.48,Pass,High
91,6.74,96,6.27,4,0.34,5.63,3,1,82.81,Pass,High
83,6.64,89,7.72,1,3.5,8.79,1,0,74.95,Pass,High
100,2.73,61,8.78,4,5.31,8.07,1,1,67.16,Pass,Medium
71,9.02,61,7.83,2,0.91,6.07,4,0,79.85,Pass,High
98,4.12,95,6.37,4,3.59,7.36,1,1,72.79,Pass,High
61,3.04,96,8.21,3,3.99,7.89,5,0,66.9,Pass,Medium
62,9.11,64,8.57,3,2.52,8.77,3,0,80.74,Pass,High
96,9.65,90,8.82,5,4.21,8.53,2,1,95.17,Pass,High
76,8.9,68,7.49,5,2.46,7.06,1,0,80.19,Pass,High
61,8.48,75,8.25,5,3.03,8.1,2,0,81.04,Pass,High
61,7.24,78,7.8,1,0.04,7.25,1,1,73.26,Pass,High
87,6.41,71,8.69,5,4.15,7.21,3,0,78.09,Pass,High
82,2.7,89,8.33,1,3.97,5.46,5,0,65.98,Pass,Medium
96,5.27,70,8.1,5,0.23,5.5,3,1,79.31,Pass,High
91,4.98,100,7.0,1,2.21,7.12,2,1,77.1,Pass,High
92,4.08,87,6.01,4,5.87,6.08,1,1,66.82,Pass,Medium
60,7.79,69,6.7,4,2.52,5.08,2,1,71.16,Pass,High
78,5.97,78,6.47,3,3.01,7.89,5,1,75.02,Pass,High
61,2.65,100,7.8,1,5.46,5.13,3,0,59.1,Pass,Medium
85,3.76,53,8.45,2,4.3,7.38,2,1,63.95,Pass,Medium
91,7.47,56,6.85,3,3.49,7.16,2,0,73.44,Pass,High
65,2.61,77,9.76,4,4.79,8.88,5,1,68.79,Pass,Medium
91,8.81,77,6.03,1,5.19,6.94,1,0,74.98,Pass,High
63,5.96,53,9.09,5,2.74,5.25,2,0,67.97,Pass,Medium
70,5.84,71,8.5,2,2.85,7.21,5,1,74.38,Pass,High
76,6.74,61,7.49,4,2.32,8.36,1,0,72.12,Pass,High
97,8.6,94,6.2,3,5.8,8.99,1,0,82.81,Pass,High
83,4.78,52,8.51,1,4.18,6.72,3,1,66.39,Pass,Medium
64,7.42,71,7.54,2,0.5,6.28,5,1,77.0,Pass,High
93,6.53,93,9.75,1,5.18,8.63,1,1,82.08,Pass,High
65,4.14,51,8.17,5,2.88,5.76,3,1,62.94,Pass,Medium
81,9.03,73,9.76,3,0.41,7.46,4,0,89.58,Pass,High
70,8.38,83,6.88,1,3.3,6.62,5,0,78.12,Pass,High
75,7.27,76,8.9,4,2.5,5.16,4,0,78.94,Pass,High
92,8.8,90,8.47,3,5.27,6.39,1,0,84.42,Pass,High
68,8.94,50,8.96,4,1.22,6.06,5,0,81.54,Pass,High
65,7.67,57,6.86,1,4.96,7.74,3,0,67.53,Pass,Medium
75,8.7,72,8.66,3,3.35,8.8,1,1,82.58,Pass,High
88,7.58,87,7.99,4,0.33,6.07,5,0,87.34,Pass,High
62,7.44,55,8.97,5,5.83,8.25,5,0,75.19,Pass,High
79,6.95,71,7.31,5,3.08,5.22,4,0,75.72,Pass,High
95,8.02,74,9.56,1,1.75,7.15,1,1,85.18,Pass,High
78,3.27,67,6.34,3,2.82,5.28,3,1,61.24,Pass,Medium
85,9.05,66,9.23,2,5.15,8.74,3,1,84.62,Pass,High
62,8.97,61,9.45,3,1.83,8.07,1,1,79.65,Pass,High
78,2.23,55,9.27,5,1.16,7.63,1,0,62.33,Pass,Medium
79,8.61,75,8.05,4,0.77,8.3,2,0,84.63,Pass,High
91,3.03,76,7.75,2,1.79,7.59,4,0,68.02,Pass,Medium
66,4.68,57,9.99,1,4.68,8.88,1,1,65.42,Pass,Medium
100,7.95,68,6.92,2,2.83,7.86,1,0,78.76,Pass,High
92,3.29,91,8.19,1,1.36,8.7,2,0,71.29,Pass,High
99,8.54,50,8.68,2,1.0,7.07,2,0,81.47,Pass,High
98,8.66,78,8.8,1,2.0,5.47,5,1,89.22,Pass,High
77,6.06,94,6.82,1,5.64,7.11,3,1,72.08,Pass,High
99,2.05,98,8.62,2,2.06,5.51,4,1,72.49,Pass,High
60,4.3,84,9.27,2,5.93,7.37,5,0,68.68,Pass,Medium
70,6.94,89,6.2,1,2.91,6.93,1,0,70.04,Pass,High
87,9.85,63,9.65,5,1.07,7.49,2,0,90.71,Pass,High
84,7.05,84,6.12,2,5.35,5.04,3,0,71.79,Pass,High
82,4.08,97,7.42,3,2.76,5.78,5,1,75.14,Pass,High
90,7.07,94,6.06,4,4.26,6.97,3,0,79.39,Pass,High
89,6.32,69,6.31,1,5.9,8.8,2,1,70.08,Pass,High
94,8.24,98,9.64,1,0.3,6.53,5,0,93.69,Pass,High
66,2.86,62,7.42,4,0.58,6.7,5,1,64.9,Pass,Medium
75,8.09,87,7.7,5,4.32,7.86,3,0,83.84,Pass,High
85,6.33,98,6.86,4,1.69,7.42,2,0,79.32,Pass,High
61,9.7,95,8.39,2,1.11,6.2,1,1,86.64,Pass,High
60,4.73,98,8.38,4,0.24,6.64,5,1,77.32,Pass,High
71,7.06,57,7.49,1,0.13,5.87,1,0,69.03,Pass,Medium
64,9.46,92,7.33,4,4.65,8.86,2,0,83.08,Pass,High
96,2.82,69,9.54,3,0.81,5.52,5,0,72.04,Pass,High
91,9.5,82,7.53,2,2.81,6.49,5,1,89.43,Pass,High
68,7.5,75,7.97,4,3.64,5.1,1,0,72.72,Pass,High
100,2.54,88,7.13,1,2.57,5.89,4,1,68.53,Pass,Medium
94,4.41,70,9.15,2,0.16,8.12,1,0,72.88,Pass,High
78,7.67,98,7.59,1,4.7,5.8,1,0,75.59,Pass,High
75,2.54,91,8.05,5,0.06,5.32,4,0,69.85,Pass,Medium
62,6.66,92,7.01,3,4.57,6.9,2,0,72.34,Pass,High
79,4.77,90,9.95,5,5.36,5.04,2,1,76.14,Pass,High
83,6.97,58,7.17,3,2.6,5.34,5,1,75.46,Pass,High
92,2.37,73,9.08,4,3.21,8.23,3,0,68.6,Pass,Medium
83,8.97,86,7.71,2,2.86,8.09,3,0,84.41,Pass,High
70,9.79,98,6.82,4,2.34,8.66,5,0,90.58,Pass,High
67,9.75,90,9.2,3,5.32,8.42,3,1,89.75,Pass,High
95,8.0,66,7.33,3,5.36,7.73,1,0,76.74,Pass,High
97,3.04,73,9.46,3,2.01,5.21,1,1,70.35,Pass,High
99,8.07,70,9.66,1,3.69,8.13,4,1,87.9,Pass,High
79,2.2,100,9.44,2,5.56,8.38,4,1,70.87,Pass,High
94,2.18,88,6.14,4,5.77,8.2,5,1,67.45,Pass,Medium
84,4.59,90,9.15,4,3.05,7.03,5,0,79.09,Pass,High
94,5.91,88,7.65,5,2.72,5.93,5,0,82.15,Pass,High
84,8.16,62,9.49,3,1.67,8.38,1,1,82.51,Pass,High
88,7.47,60,8.55,3,5.75,7.91,3,0,76.87,Pass,High
77,5.57,95,9.33,3,0.86,8.92,5,0,83.82,Pass,High
77,4.19,68,8.0,4,3.48,5.62,5,0,67.78,Pass,Medium
61,9.98,60,8.14,5,1.7,5.9,1,1,81.03,Pass,High
94,5.41,62,6.58,1,1.67,5.85,1,0,65.13,Pass,Medium
75,5.61,95,9.14,2,2.43,8.17,1,0,75.65,Pass,High
100,3.31,94,7.68,1,5.99,5.75,3,0,67.93,Pass,Medium
95,8.36,50,8.0,4,0.33,5.27,5,0,83.23,Pass,High
92,7.55,89,9.14,3,3.47,8.99,2,0,86.1,Pass,High
63,3.77,93,8.4,2,0.5,5.1,2,0,66.26,Pass,Medium
92,2.66,68,6.8,4,0.93,8.34,5,0,67.74,Pass,Medium
73,7.44,61,8.36,4,2.64,6.46,5,0,78.0,Pass,High
80,7.24,57,7.63,4,3.06,8.37,5,0,78.18,Pass,High
79,4.19,57,7.88,2,1.55,7.22,5,0,67.15,Pass,Medium
67,9.61,94,6.11,2,1.9,8.61,3,1,85.43,Pass,High
66,3.21,61,6.84,5,0.52,8.7,2,0,61.32,Pass,Medium
62,5.46,97,7.12,5,1.82,5.04,4,1,75.3,Pass,High
76,9.55,82,8.85,1,5.8,5.3,2,0,81.09,Pass,High
92,5.36,94,6.05,2,5.67,6.0,2,1,70.42,Pass,High
71,7.11,75,7.64,2,2.01,7.68,1,1,74.22,Pass,High
81,5.18,88,9.7,2,3.43,8.55,5,0,80.05,Pass,High
81,4.19,77,6.45,5,5.46,6.84,5,1,69.74,Pass,Medium
89,9.87,54,8.07,4,0.04,7.43,5,1,89.91,Pass,High
97,5.27,57,9.15,3,4.86,5.75,1,1,70.27,Pass,High
97,9.15,74,9.77,5,5.69,8.22,3,0,91.76,Pass,High
67,3.84,76,8.99,2,0.55,8.87,3,1,69.81,Pass,Medium
86,3.7,95,8.88,5,0.97,6.07,4,1,79.72,Pass,High
86,2.25,72,9.31,1,5.76,6.98,3,0,61.6,Pass,Medium
93,7.21,79,7.78,2,3.23,5.34,3,1,80.22,Pass,High
80,4.95,94,9.22,1,0.09,7.24,5,1,80.43,Pass,High
89,8.91,96,6.03,2,1.55,7.01,2,1,86.71,Pass,High
92,5.79,72,9.7,5,2.7,5.58,3,0,79.91,Pass,High
87,9.75,98,7.77,4,4.16,6.77,3,1,92.52,Pass,High
92,3.48,96,8.21,3,4.4,6.34,1,0,69.55,Pass,Medium
64,8.95,69,7.02,1,5.97,7.09,4,1,74.76,Pass,High
78,8.21,67,8.97,5,1.73,7.34,1,1,83.24,Pass,High
63,8.17,67,6.31,4,3.23,5.03,5,1,75.87,Pass,High
94,8.76,51,9.49,5,3.2,8.04,2,1,86.59,Pass,High
76,8.09,53,9.31,1,2.43,7.85,4,0,78.03,Pass,High
87,7.01,79,6.86,3,1.01,6.47,1,1,77.81,Pass,High
89,3.05,82,9.24,5,5.86,5.21,3,0,69.65,Pass,Medium
88,2.26,85,9.15,2,5.12,8.02,3,1,67.65,Pass,Medium
65,9.37,67,8.53,4,2.99,8.82,4,0,84.96,Pass,High
94,6.93,86,7.49,5,3.62,5.96,3,1,82.6,Pass,High
100,8.37,68,7.09,4,1.36,6.29,1,1,83.07,Pass,High
96,5.85,96,6.93,2,3.26,5.74,1,0,75.43,Pass,High
83,2.94,77,7.27,3,4.17,7.31,3,0,64.69,Pass,Medium
88,3.0,89,9.61,3,3.09,5.62,3,0,71.93,Pass,High
90,7.48,69,6.31,2,5.94,6.42,5,0,73.98,Pass,High
94,5.44,98,9.32,4,3.67,7.79,2,1,84.01,Pass,High
92,3.6,82,7.4,5,2.23,7.24,4,0,73.25,Pass,High
80,5.93,61,8.09,2,4.63,6.55,1,0,66.71,Pass,Medium
91,2.51,100,9.18,1,1.02,6.68,4,0,72.73,Pass,High
82,6.66,64,9.54,4,2.31,7.25,5,1,83.08,Pass,High
92,4.15,90,7.38,3,2.08,5.02,1,1,71.39,Pass,High
62,8.38,88,7.85,2,2.59,5.31,5,1,81.02,Pass,High
77,4.48,51,7.66,3,4.69,8.53,5,1,66.49,Pass,Medium
84,5.64,78,6.05,4,2.91,5.31,3,0,70.37,Pass,High
90,2.09,90,7.18,3,4.76,7.83,4,1,66.74,Pass,Medium
62,2.58,59,7.84,2,3.46,8.68,4,0,57.97,Pass,Medium
99,5.14,51,7.64,4,2.05,6.08,3,1,72.35,Pass,High
83,5.84,100,8.89,1,4.86,6.48,4,0,78.89,Pass,High
91,6.8,60,7.54,2,1.43,7.28,3,0,75.1,Pass,High
81,4.33,62,7.96,5,1.35,8.53,1,0,68.36,Pass,Medium
82,7.56,59,7.72,2,3.03,8.77,5,0,77.02,Pass,High
61,8.88,63,8.96,4,1.57,7.96,5,0,82.97,Pass,High
86,8.24,67,9.45,2,0.05,5.35,4,1,85.55,Pass,High
61,2.32,100,8.13,1,3.89,7.68,2,0,60.96,Pass,Medium
85,5.84,58,9.16,1,3.07,6.64,5,0,73.19,Pass,High
76,2.84,88,7.19,5,2.67,6.88,3,0,66.55,Pass,Medium
99,3.94,77,8.17,3,5.8,5.2,2,0,68.01,Pass,Medium
92,9.89,52,7.38,4,3.43,5.76,2,1,82.23,Pass,High
68,3.14,69,7.66,4,5.18,8.16,5,1,65.19,Pass,Medium
98,5.99,55,8.93,3,0.84,6.82,5,0,78.76,Pass,High
88,6.95,76,9.53,1,3.42,6.21,5,0,81.41,Pass,High
85,7.62,51,6.49,1,5.21,6.54,3,0,68.35,Pass,Medium
94,6.48,78,8.54,2,3.5,8.42,2,0,78.69,Pass,High
84,2.08,87,8.33,5,4.31,8.0,4,1,70.25,Pass,High
83,4.61,52,6.47,5,2.23,6.09,3,1,65.42,Pass,Medium
72,6.14,65,6.85,5,0.55,5.47,1,0,69.91,Pass,Medium
66,2.7,79,7.24,2,2.75,6.01,5,0,60.7,Pass,Medium
95,4.81,89,6.67,5,2.37,8.68,2,0,76.33,Pass,High
79,2.27,51,6.97,3,5.2,7.33,3,0,54.51,Pass,Medium
60,2.63,66,7.07,2,1.46,7.13,1,0,54.39,Pass,Medium
67,5.18,90,7.34,3,5.8,7.39,3,1,70.98,Pass,High
75,3.06,61,9.0,2,5.75,6.46,3,1,60.81,Pass,Medium
73,6.54,84,8.29,5,1.49,8.23,4,0,82.52,Pass,High
71,7.52,92,9.94,3,2.09,7.09,4,1,87.63,Pass,High
82,8.4,50,7.66,3,5.37,5.47,3,1,74.38,Pass,High
74,3.6,94,9.02,3,5.8,5.52,1,1,67.6,Pass,Medium
87,3.34,64,9.49,2,2.66,7.15,2,0,65.45,Pass,Medium
93,2.84,75,8.72,4,1.93,8.75,2,1,71.73,Pass,High
61,7.09,86,7.65,5,3.16,6.23,5,1,79.6,Pass,High
91,7.65,70,9.01,3,4.13,8.48,5,0,84.54,Pass,High
82,2.25,98,6.81,4,1.64,8.06,2,1,69.33,Pass,Medium
81,9.49,80,7.31,5,4.42,5.99,3,0,85.49,Pass,High
84,2.42,74,8.19,5,0.31,5.15,3,1,68.48,Pass,Medium
81,6.33,72,8.3,3,0.3,5.41,4,0,77.13,Pass,High
81,7.67,73,6.09,3,2.32,7.91,4,0,76.95,Pass,High
65,8.97,87,9.78,2,2.12,5.8,5,1,87.27,Pass,High
74,7.71,77,8.79,4,1.89,6.49,2,1,81.55,Pass,High
96,8.41,70,7.98,4,2.95,7.01,3,0,84.35,Pass,High
92,4.72,92,9.73,3,1.92,7.9,2,0,80.38,Pass,High
67,8.52,67,7.76,5,1.15,5.45,1,1,78.85,Pass,High
64,2.64,85,9.92,3,1.86,6.63,2,1,67.75,Pass,Medium
98,9.16,84,8.05,5,5.85,6.94,1,1,88.0,Pass,High
63,6.38,94,6.46,5,2.47,7.16,4,1,76.49,Pass,High
65,8.54,58,9.06,3,2.67,8.27,4,0,78.58,Pass,High
91,5.62,87,8.72,1,3.46,5.69,5,0,76.73,Pass,High
89,7.15,79,9.09,4,5.9,8.23,2,0,80.83,Pass,High
94,6.21,93,9.81,5,1.45,7.77,2,1,89.38,Pass,High
99,7.85,83,9.11,5,4.09,7.22,1,1,88.51,Pass,High
75,2.65,81,8.45,1,4.3,7.8,4,0,64.07,Pass,Medium
72,2.48,52,9.43,2,3.64,6.65,1,0,56.1,Pass,Medium
89,3.98,52,8.69,1,0.53,5.55,4,0,66.86,Pass,Medium
78,3.28,77,7.63,1,4.06,7.66,1,0,60.33,Pass,Medium
76,8.97,93,9.54,5,0.38,7.1,4,0,94.27,Pass,High
